emp;fam;rep_emp;rep_gre
1;1;41;10
1;2;69;57
1;3;53;32
1;4;66;52
1;5;64;47
1;6;64;48
2;1;49;30
2;2;44;21
2;3;44;20
2;4;46;26
2;5;57;44
2;6;42;19
3;1;69;50
3;2;62;40
3;3;50;23
3;4;76;58
3;5;48;21
3;6;55;30
4;1;48;22
4;2;60;40
4;3;45;17
4;4;47;21
4;5;62;44
4;6;43;13
5;1;65;49
5;2;63;44
5;3;71;57
5;4;68;51
5;5;52;27
5;6;68;52
6;1;76;55
6;2;46;11
6;3;45;11
6;4;67;43
6;5;65;38
6;6;79;60
7;1;35;17
7;2;37;20
7;3;30;11
7;4;30;10
7;5;57;48
7;6;49;36
8;1;75;57
8;2;64;41
8;3;46;15
8;4;54;28
8;5;52;23
8;6;52;23
9;1;51;26
9;2;63;44
9;3;42;13
9;4;61;40
9;5;67;48
9;6;69;53
10;1;60;37
10;2;73;58
10;3;66;44
10;4;71;53
10;5;67;48
10;6;74;59
